row_id,Harvest_method,Fruit_total_norm,speed_tot_norm,stem_tot_norm,stem_ht_norm,branch_cnt_norm,fruit_loss_norm,Total_fruit_norm
168,0,0.618625277,0.012209906,0.493333333,0.279650562,0.482143782,0.354385965,0.390483013
169,1,0.394678492,0.280971338,0.266666667,0.524344694,0.232144228,0.119565217,0.074083544
170,1,0.099778271,0.565532309,0.36,0.309613109,0.339286894,0.058823529,0.074083544
171,1,0.130820399,0.85009328,0.4,0.39700387,0.428572449,0.107692308,0.074083544
172,0,0.305986696,0.001804048,0.093333333,0.42072422,0.410715338,0,0.482334336
173,0,0.350332594,0.007197729,0.32,0.35206005,0.321429783,0,0.482334336
174,0,0.33037694,0.01259141,0.186666667,0.198501997,0.196430006,0,0.482334336
175,1,0.301552106,0.23377586,0.346666667,0.413233583,0.303572672,0.492957747,0.120647417
176,1,0.394678492,0.471141353,0.44,0.514357179,0.178572895,0.206521739,0.120647417
177,1,0.135254989,0.708506846,0.453333333,0.254681773,0.410715338,0.567164179,0.120647417
178,0,0.141906874,0.001795081,0.426666667,0.659176155,0.107144452,0.071428571,0.310936398
179,0,0.101995565,0.007179795,0.52,0.358302247,0.303572672,0.403846154,0.310936398
180,0,0.135254989,0.012564509,0.506666667,0.252184894,0.285715561,0,0.310936398
181,1,0.070953437,0.165758848,0,0.062422097,0.125001563,0.394736842,0.199938747
182,1,0.390243902,0.335107328,0.48,0.133583146,0.178572895,0.027472527,0.199938747
183,1,0.228381375,0.504455808,0.533333333,0.384519476,0.428572449,0.110091743,0.199938747
184,1,0.246119734,0.268478418,0.2,0.198501997,0.214287117,0.316239316,0.051159006
185,1,0.412416851,0.540546468,0.546666667,0.394506991,0.107144452,0.151041667,0.051159006
186,1,0.379157428,0.812614518,0.306666667,0.158551935,0.303572672,0.186440678,0.051159006
187,1,0.166297118,0.222671042,0.053333333,0.219725468,0.232144228,0.580246914,0.217910768
188,1,0.379157428,0.448931716,0.613333333,0.337078776,0.232144228,0.056497175,0.217910768
189,1,0.381374723,0.675192391,0.52,0.23845206,0.303572672,0.101123596,0.217910768
190,1,0.463414634,0.169923155,0.2,0.247191136,0.375001116,0.548837209,0.109517017
191,1,0.270509978,0.343435942,0.093333333,0.132334707,0.196430006,0.2265625,0.109517017
192,1,0.201773836,0.516948729,0.48,0.239700499,0.107144452,0.164948454,0.109517017
193,0,0.332594235,0.001325247,0.533333333,0.614232334,0.196430006,0.038461538,0.555294613
194,0,0.270509978,0.006240126,0.56,0.278402122,0.285715561,0.1875,0.555294613
195,0,0.199556541,0.011155005,0.2,0.267166167,0.339286894,0.072916667,0.555294613
196,1,0.394678492,0.16714695,0.76,1.000000125,0.250001339,0,0.263096104
197,1,0.274944568,0.337883533,0.56,0.400749188,0.250001339,0,0.263096104
198,1,0.286031042,0.508620115,0.493333333,0.566791636,0.125001563,0.074074074,0.263096104
199,1,0.514412417,0.286523748,0.613333333,0.37453196,0.107144452,0.659663866,0.074338829
200,1,0.614190687,0.576637128,0.48,0.379525718,0.250001339,0.19434629,0.074338829
201,1,0.760532151,0.866750508,0.466666667,0.44194769,0.464286671,0.736389685,0.074338829
202,1,0.463414634,0.171311257,0.213333333,0.270911486,0.125001563,0.479069767,0.093434101
203,1,0.65631929,0.346212146,0.52,0.469413358,0.589286448,0.033112583,0.093434101
204,1,0.201773836,0.521113036,0.386666667,0.229712984,0.321429783,0.659793814,0.093434101
205,1,0.614190687,0.201849508,0.373333333,0.302122472,0.178572895,0.183745583,0.090064347
206,1,0.345898004,0.407288648,0.266666667,0.213483271,0.196430006,0.382716049,0.090064347
207,1,0.22616408,0.612727788,0.386666667,0.267166167,0.303572672,0.62037037,0.090064347
208,1,0.368070953,0.243492576,0.986666667,0.490636829,0.428572449,0.267441861,0.176912095
209,1,0.345898004,0.490574785,0.413333333,0.373283521,0.26785845,0.12345679,0.176912095
210,1,0.305986696,0.737656994,0.506666667,0.416978901,0.250001339,0.701388889,0.176912095
211,0,0.223946785,0.000652549,0.666666667,0.41947578,0.107144452,0.439252336,0.268457076
212,0,0.155210643,0.00489473,0.533333333,0.176030087,0.26785845,0.118421053,0.268457076
213,0,0.172949002,0.009136911,0.333333333,0.210986392,0.26785845,0.428571429,0.268457076
214,1,0.481152993,0.206013814,0.6,0.364544445,0.303572672,0.295964126,0.077146957
215,1,0.161862528,0.415617261,0.28,0.26092397,0.125001563,0.35443038,0.077146957
216,1,0.179600887,0.625220708,0.226666667,0.279650562,0.214287117,1,0.077146957
217,1,0.368070953,0.276807032,0.133333333,0.196005119,0.089287341,0.034883721,0.170070474
218,1,0.525498891,0.557203696,0.24,0.26092397,0.160715784,0.106995885,0.170070474
219,1,0.368070953,0.83760036,0.133333333,0.138576904,0.285715561,0.63372093,0.170070474
226,1,0.155210643,0.171311257,0.44,0.153558177,0.125001563,0.078947368,0.090064347
227,1,0.348115299,0.346212146,0.2,0.052434582,0.178572895,0,0.090064347
228,1,0.441241685,0.521113036,0.24,1.25E-07,0.142858673,0.307317073,0.090064347
229,1,0.290465632,0.16714695,0.386666667,0.237203621,0.178572895,0.065693431,0.126570014
230,1,0.461197339,0.337883533,0.666666667,0.191011361,0.125001563,0.074766355,0.126570014
231,1,0.10421286,0.508620115,0.146666667,0.074906492,0.285715561,0.396226415,0.126570014
232,1,0.23059867,0.218506735,0.16,0.113608115,0.232144228,0.518181818,0.230164418
233,1,0.780487805,0.440603103,0.88,0.372035081,0.321429783,0.005586592,0.230164418
